date,mktrf,smb,hml,rmw,cma,rf,umd,r_f,r_mkt,r_me,r_ia,r_roe,r_eg
2010/10/17,0.0018,-0.0019,-0.0127,0.0057,-0.0063,1e-05,0.0023,0.0005,0.0687,-0.3858,-0.3442,0.2672,0.6183
2010/10/24,0.0029,0.0042,-0.004,-0.0028,-0.0022,1e-05,0.0022,0.0005,0.2644,0.3679,-0.1053,-0.2618,0.2246
2010/10/31,0.0007,0.0032,-0.0011,0.001,0.0012,1e-05,0.0015,0.0005,0.1646,0.2127,0.0594,-0.2471,-0.1619
2010/11/07,0.0041,-0.0004,0.0064,-0.003,0.0049,1e-05,-0.0059,0.0005,0.401,0.1443,0.5803,-0.3352,-0.1231
2010/11/14,-0.0129,-0.0047,-0.0005,0.0017,-0.0004,1e-05,-0.0023,0.0005,-1.3386,-0.5803,-0.0582,0.1822,0.432
2010/11/21,0.0031,0.0017,-0.0023,-0.001,0.0012,1e-05,0.0054,0.0005,0.3735,0.0041,0.0584,-0.428,-0.4658
2010/11/28,-0.0067,0.0028,-0.0036,0.0022,-0.0008,1e-05,0.0039,0.0005,-0.6885,0.2564,-0.1601,0.192,0.1525
2010/12/05,0.0035,0.0036,0.0009,-0.0012,0.0024,1e-05,0.0008,0.0006,0.3941,0.3105,0.1867,-0.1263,-0.0468
2010/12/12,0.0067,0.0047,0.0022,-0.0019,0.0018,1e-05,-0.0013,0.0006,0.6423,0.4327,0.1961,-0.3302,-0.0103
2010/12/19,0.0015,0.0017,-0.0018,-0.0033,0.0026,1e-05,-0.0005,0.0006,0.1552,0.1371,0.191,-0.1931,-0.02
2010/12/26,-0.0016,0.0005,-0.0031,0.0021,-0.0017,1e-05,-0.0012,0.0006,-0.1195,-0.0241,-0.211,-0.172,0.1108
2011/01/02,-0.001,-0.006,0.0023,-0.0012,0.0012,1e-05,-0.0015,0.0006,-0.0244,-0.5782,0.0611,-0.0587,-0.2839
2011/01/09,-0.0021,-0.0026,-0.0027,0.0017,-0.0014,0.0,0.0035,0.0003,-0.1954,-0.297,-0.1095,0.0527,-0.1724
2011/01/16,0.0069,0.0004,0.0058,-0.007,0.0014,0.0,-0.0019,0.0003,0.6638,0.3094,0.2203,0.2132,-0.0063
2011/01/23,0.0011,-0.0084,0.0059,-0.0014,0.0032,0.0,-0.0014,0.0003,0.1269,-0.7945,0.1653,-0.1853,-0.2091
2011/01/30,-0.0188,-0.0083,-0.0003,0.0004,-0.0037,0.0,-0.0017,0.0003,-1.7226,-0.9436,-0.325,-0.1555,-0.3625
2011/02/06,0.0029,-0.0003,-0.0051,-0.0022,-0.0001,1e-05,0.0004,0.0006,0.2158,-0.0243,0.0946,0.1375,0.4144
2011/02/13,0.0067,0.004,0.005,-0.0036,0.0036,1e-05,0.0045,0.0006,0.6104,0.4283,0.3836,-0.0692,-0.0853
2011/02/20,0.0012,-0.0008,0.0005,0.0018,-0.0001,1e-05,-0.005,0.0006,0.1224,-0.1802,0.0929,0.0915,0.3165
2011/02/27,0.0122,0.0098,0.0025,-0.0072,0.0046,1e-05,0.0067,0.0006,1.2917,1.1068,0.4405,-0.2891,-0.3942
2011/03/06,-0.0067,0.0025,-0.0054,0.0016,-0.002,0.0,0.0032,0.0003,-0.5901,0.1649,-0.2276,0.0104,-0.019
2011/03/13,0.0069,-0.0037,0.0016,-0.0041,0.0023,0.0,0.0032,0.0003,0.6941,-0.3592,0.2322,-0.4304,-0.3445
2011/03/20,0.0049,0.0058,0.0019,0.0006,0.003,0.0,-0.0047,0.0003,0.4855,0.6111,0.1498,-0.1872,-0.1028
2011/03/27,0.0041,0.0047,-0.0002,0.0011,0.0005,0.0,0.0063,0.0003,0.3129,0.4426,0.1365,-0.106,-0.1779
2011/04/03,0.0052,-0.0009,0.0021,0.0014,0.0006,0.0,0.0002,0.0003,0.5453,-0.1054,-0.0949,-0.0921,-0.2404
2011/04/10,-0.0047,-0.0053,-0.0028,0.0008,-0.0021,0.0,0.0009,0.0003,-0.339,-0.5725,-0.3334,-0.1824,-0.2417
2011/04/17,0.0044,0.0053,-0.0009,-0.0001,0.0027,0.0,0.0019,0.0003,0.3963,0.2522,0.2603,-0.2605,-0.387
2011/04/24,0.0056,0.0033,-0.0007,-0.0002,0.0004,0.0,0.0079,0.0003,0.5867,0.4157,0.1376,0.0946,0.2638
2011/05/01,0.0029,0.002,-0.0008,-0.0023,-0.0018,0.0,0.0065,0.0003,0.3121,0.1559,-0.1052,-0.0908,-0.4837
2011/05/08,0.0046,0.0007,-0.0016,-0.0028,-0.0011,0.0,0.0055,0.0001,0.4602,0.0974,-0.171,-0.2534,-0.1416
2011/05/15,-0.0088,-0.0048,-0.0033,0.0025,-0.0021,0.0,-0.0008,0.0001,-0.8905,-0.5756,-0.0879,0.0142,0.2398
2011/05/22,-0.0073,0.0004,-0.002,-0.0023,0.0,0.0,0.003,0.0001,-0.6787,-0.2324,0.0479,-0.4893,-0.3369
2011/05/29,0.0049,0.0021,0.0022,-0.0013,0.0011,0.0,0.0012,0.0001,0.5112,0.3091,0.1344,-0.0568,-0.0505
2011/06/05,-0.011,-0.0049,0.0015,0.0021,-0.0005,0.0,-0.0015,0.0002,-0.9286,-0.5112,-0.039,-0.0828,0.3546
2011/06/12,-0.0137,-0.0019,0.0043,-0.0006,-0.0009,0.0,-0.006,0.0002,-1.4087,-0.0449,-0.2222,0.0468,-0.009
2011/06/19,0.0025,-0.0037,0.0067,0.0003,0.0016,0.0,-0.0024,0.0002,0.2165,-0.3882,0.1717,-0.2659,-0.2362
2011/06/26,-0.011,0.005,0.0009,0.0012,-0.0026,0.0,-0.003,0.0002,-1.0567,0.5629,-0.3557,0.1861,0.0018
2011/07/03,0.0145,-0.0001,0.0015,0.0004,0.0014,0.0,0.0034,-0.0001,1.3474,0.1276,0.2903,0.1344,-0.0503
2011/07/10,-0.0067,-0.0001,-0.0041,0.0033,-0.0013,0.0,0.0036,-0.0001,-0.6334,-0.0043,-0.0514,0.2126,0.3224
2011/07/17,0.0058,0.0007,-0.0051,0.0012,-0.0065,0.0,0.0054,-0.0001,0.6175,-0.2796,-0.8194,-0.7208,-0.4826
2011/07/24,0.001,-0.0014,-0.007,-0.0011,-0.0058,0.0,0.0026,-0.0001,0.1435,-0.0461,-0.7871,-0.174,0.4976
2011/07/31,-0.0056,0.0024,0.0011,-0.0024,0.0025,0.0,0.0013,-0.0001,-0.5613,0.1902,0.1306,-0.1689,-0.0399
2011/08/07,-0.0036,-0.0117,-0.0059,0.0119,0.0009,0.0,-0.005,0.0004,-0.4789,-1.4747,0.2865,0.6398,0.5407
2011/08/14,0.0054,-0.0034,-0.0151,0.0055,-0.0031,0.0,0.0117,0.0004,0.4759,-0.3964,0.068,0.2872,-0.3532
2011/08/21,-0.0155,0.0009,-0.0035,0.0022,0.0007,0.0,-0.0058,0.0004,-1.5369,-0.027,0.1599,-0.023,0.3306
2011/08/28,0.0174,0.008,-0.0101,0.0008,-0.0057,0.0,0.0134,0.0004,1.6439,0.9777,-0.3625,0.1978,-0.2278
2011/09/04,-0.0264,-0.0083,-0.0075,0.0061,-0.0006,0.0,0.0036,0.0,-2.4637,-1.0305,-0.1479,0.0492,0.5429
2011/09/11,-0.0265,-0.002,-0.0003,0.0027,-0.0001,0.0,0.0016,0.0,-2.6589,-0.3039,-0.0153,0.0906,0.4669
2011/09/18,0.0047,-0.0038,-0.0036,0.0023,-0.0015,0.0,0.0056,0.0,0.3571,-0.5511,-0.1764,-0.0956,0.3863
2011/09/25,0.0074,0.0069,-0.0003,-0.0022,0.0017,0.0,-0.0087,0.0,0.5753,0.8309,0.5006,0.0299,0.1695
2011/10/02,-0.025,-0.0016,-0.0021,0.0045,0.0017,0.0,0.0066,0.0,-2.4638,-0.4902,0.2974,0.0004,0.7354
2011/10/09,-0.0098,-0.0133,-0.0147,0.0141,-0.0003,0.0,0.0178,0.0001,-1.0929,-1.5507,-0.0326,0.5593,0.6467
2011/10/16,0.0172,0.0015,-0.0033,-0.0003,-0.006,0.0,0.002,0.0001,1.7739,0.3144,-0.3933,0.0546,-0.3109
2011/10/23,0.0192,0.0016,0.0009,-0.0025,-0.0002,0.0,-0.0047,0.0001,1.9269,0.2843,0.1785,0.2043,0.06
2011/10/30,-0.0001,-0.0054,-0.0057,-0.0015,-0.0022,0.0,-0.0038,0.0001,0.0244,-0.6007,-0.3976,-0.3941,0.0353
2011/11/06,-0.0053,-0.0004,-0.0066,0.0013,-0.0001,0.0,-0.0013,0.0,-0.5564,0.0836,0.1752,0.0644,0.0988
2011/11/13,0.0198,0.005,-0.0018,-0.0006,-0.0017,0.0,-0.0037,0.0,1.9777,0.6291,-0.2454,-0.0155,-0.1797
2011/11/20,-0.0007,0.0009,0.0091,0.0001,0.0059,0.0,-0.0008,0.0,-0.0291,0.0536,0.6723,0.2042,-0.033
2011/11/27,-0.0034,-0.0099,0.0048,-0.0023,0.0038,0.0,-0.0004,0.0,-0.3632,-0.946,0.4524,0.0547,-0.117
2011/12/04,0.0005,0.0054,0.0063,-0.0039,0.0031,0.0,-0.0058,0.0,0.0094,0.8201,0.2529,0.1233,-0.2578
2011/12/11,0.0183,0.0131,0.0013,-0.0033,-0.0021,0.0,-0.0065,0.0,1.774,1.5159,-0.3035,-0.1892,-0.5726
2011/12/18,0.0045,0.0027,-0.0006,0.0011,-0.0011,0.0,0.0033,0.0,0.496,0.6564,0.078,0.5823,-0.1983
2011/12/25,0.0084,-0.0057,-0.0012,0.003,-0.0003,0.0,0.0037,0.0,0.7866,-0.4178,0.0266,0.3783,0.0813
2012/01/01,-0.004,-0.0008,-0.0019,-0.0005,0.0006,0.0,-0.0065,0.0,-0.2583,-0.1881,0.0776,-0.2561,-0.2541
2012/01/08,-0.0019,-0.0004,-0.0027,-0.0003,-0.0003,0.0,-0.0007,0.0,-0.2906,-0.0546,-0.1033,-0.0873,-0.2105
2012/01/15,-0.0052,-0.0023,-0.0043,0.0064,0.001,0.0,0.0106,0.0,-0.5321,-0.2992,-0.026,0.4704,0.1427
2012/01/22,0.0003,0.0028,0.0065,0.0,0.001,0.0,-0.0061,0.0,0.0884,0.1963,-0.0053,0.0932,0.2635
2012/01/29,0.0001,0.0081,-0.0013,-0.0033,-0.0014,0.0,-0.0058,0.0,0.0689,0.9267,-0.2082,-0.277,-0.1062
2012/02/05,0.0158,0.0062,0.0038,-0.007,-0.0021,0.0,-0.0149,0.0002,1.4671,0.96,-0.2941,0.0306,-0.2354
2012/02/12,-0.0075,-0.0059,-0.0005,0.003,0.0014,0.0,0.0098,0.0002,-0.8391,-0.7067,0.1667,-0.0237,0.2888
2012/02/19,0.0016,-0.0023,0.0051,0.0009,0.0029,0.0,-0.0013,0.0002,0.1389,-0.2566,0.2333,-0.0155,-0.2194
2012/02/26,0.0015,-0.0049,-0.0064,0.0018,-0.002,0.0,0.0018,0.0002,0.1494,-0.5076,-0.2355,-0.0118,0.0887
2012/03/04,-0.0046,-0.0125,-0.0006,0.0015,0.0035,0.0,0.0037,0.0002,-0.4931,-1.2443,0.4083,0.2827,0.2378
2012/03/11,0.0049,0.009,0.0016,-0.0022,0.0001,0.0,-0.0036,0.0002,0.4496,0.8688,-0.0323,-0.0905,0.1464
2012/03/18,0.0006,-0.0029,0.0037,-0.0044,-0.0018,0.0,-0.0084,0.0002,0.1329,-0.3031,-0.2973,-0.6651,-0.3589
2012/03/25,0.0039,0.0059,0.0036,-0.0035,-0.0021,0.0,-0.0052,0.0002,0.4472,0.6097,-0.3237,-0.1788,-0.1983
2012/04/01,0.0028,-0.007,-0.0004,-0.0001,0.0017,0.0,-0.0014,0.0002,0.3351,-0.6945,-0.0228,-0.0214,-0.0383
2012/04/08,-0.0003,-0.0012,-0.0042,0.0022,-0.0018,0.0,0.0091,0.0001,-0.0806,-0.0798,-0.0795,0.3792,0.2407
2012/04/15,-0.0125,-0.0019,-0.0075,0.0073,0.0009,0.0,0.0138,0.0001,-1.2398,-0.41,0.249,0.4535,0.1306
2012/04/22,0.0011,0.0051,-0.001,0.0038,0.0061,0.0,0.0108,0.0001,0.163,0.2727,0.7711,0.0817,-0.4606
2012/04/29,0.0035,0.0068,-0.0025,0.0011,-0.0016,0.0,0.0033,0.0001,0.3893,0.6516,-0.1422,0.1257,-0.1236
2012/05/06,-0.0162,-0.0024,0.0018,0.0016,0.0015,0.0,0.0025,0.0003,-1.5679,-0.4718,0.0461,0.0302,0.1262
2012/05/13,-0.0029,0.0012,-0.0107,0.0,-0.0006,0.0,0.0056,0.0003,-0.2783,0.0137,-0.0023,0.1277,-0.0201
2012/05/20,-0.008,-0.0015,0.0007,0.0016,0.0038,0.0,0.0061,0.0003,-0.8147,-0.3274,0.2872,0.1892,0.0483
2012/05/27,-0.0016,0.0024,-0.0014,0.0018,0.0013,0.0,-0.0054,0.0003,-0.1543,0.1027,0.0892,-0.4683,0.1217
2012/06/03,-0.026,-0.0057,0.0005,0.002,0.0005,0.0,0.0001,0.0001,-2.4529,-0.6636,0.1958,0.2342,0.5261
2012/06/10,0.0085,0.0022,0.0005,-0.001,0.0011,0.0,0.0037,0.0001,0.7131,0.3629,0.089,0.0263,0.0059
